Trial_No,Timestamp,Learning_Rate,Batch_Size,Dense_Units,Dropout_Rate,Gamma,Avg_Accuracy
0,2026-04-07 17:26:37,0.0001,32,128,0.4,1.0,44.69
1,2026-04-07 17:51:59,5e-05,16,256,0.2,2.0,35.41
2,2026-04-07 18:18:10,0.0005,16,128,0.2,0.0,50.0
3,2026-04-07 18:54:59,0.0005,32,128,0.2,2.0,48.01
4,2026-04-07 19:32:08,5e-05,32,128,0.3,1.0,45.02
5,2026-04-07 20:08:45,0.0001,32,256,0.4,2.0,42.47
6,2026-04-07 20:35:29,0.001,16,128,0.2,0.0,52.21
7,2026-04-07 21:00:39,0.0001,16,128,0.3,1.0,39.38
8,2026-04-07 21:26:45,0.0001,16,128,0.3,1.0,45.25
9,2026-04-07 22:03:12,0.0001,32,256,0.2,0.0,45.79
10,2026-04-07 22:29:20,0.001,16,256,0.2,0.0,50.77
11,2026-04-07 22:54:32,0.001,16,256,0.2,0.0,51.11
12,2026-04-07 23:21:03,0.001,16,256,0.2,0.0,53.2
13,2026-04-07 23:48:21,0.001,16,256,0.2,0.0,49.67
14,2026-04-08 00:15:52,0.001,16,128,0.2,0.0,51.89
0,2026-04-15 00:16:17,0.0005,16,256,0.2,Adam,53.65
1,2026-04-15 00:42:15,5e-05,16,128,0.3,RMSprop,44.14
2,2026-04-15 01:09:10,0.0005,16,128,0.2,Adam,49.01
3,2026-04-15 01:36:54,5e-05,16,128,0.4,Adam,43.7
4,2026-04-15 02:03:32,0.0001,16,256,0.3,Adam,45.14
5,2026-04-15 02:30:20,5e-05,16,128,0.3,Adam,44.7
6,2026-04-15 03:06:54,0.0001,32,256,0.3,RMSprop,47.02
7,2026-04-15 03:34:09,5e-05,16,128,0.4,RMSprop,44.8
8,2026-04-15 04:11:42,5e-05,32,256,0.4,RMSprop,47.57
9,2026-04-15 04:39:33,0.0005,16,128,0.4,RMSprop,52.32
10,2026-04-15 05:15:20,0.0005,32,256,0.2,Adam,49.0
11,2026-04-15 05:41:06,0.0005,16,256,0.2,RMSprop,48.78
12,2026-04-15 06:08:46,0.0005,16,128,0.4,Adam,52.88
13,2026-04-15 06:35:21,0.0005,16,256,0.2,Adam,50.55
14,2026-04-15 07:11:20,0.0005,32,128,0.4,Adam,50.77
15,2026-04-15 07:37:25,0.0005,16,256,0.2,Adam,48.78
16,2026-04-15 08:04:59,0.0001,16,128,0.4,Adam,47.57
17,2026-04-15 08:31:05,0.0005,16,256,0.2,Adam,53.2
18,2026-04-15 09:07:09,0.0005,32,256,0.2,Adam,53.32
19,2026-04-15 09:43:18,0.0005,32,256,0.2,Adam,53.77
